G506 	WH	BJ	16:44	22:04	522  
G70  	WH	BJ	17:07	22:28	522  
G530 	WH	BJ	17:20	22:58	522  
G492 	WH	BJ	17:26	22:43	522  
G592 	WH	HZ	12:14	17:18	318  
G2387	WH	HZ	12:38	19:02	318  
D658 	WH	HZ	13:42	19:10	318  
G596 	WH	HZ	14:20	18:49	318  
G2397	WH	HZ	15:01	21:22	318  
D2248	WH	HZ	15:25	20:07	318  
D2224	WH	HZ	16:47	21:54	318  
D2264	WH	HZ	18:00	22:24	318  
D3092	WH	HF	15:36	17:21	133  
D3074	WH	HF	15:41	17:26	133  
D3024	WH	HF	15:43	18:10	133  
D3070	WH	HF	15:50	17:49	133  
G1546	WH	HF	15:50	17:40	133  
D954 	WH	HF	15:55	17:35	133  
D3062	WH	HF	16:20	18:16	133  
G578 	WH	HF	16:32	18:05	133  
D3066	WH	HF	16:36	18:24	133  
D638 	WH	HF	16:41	18:34	133  
D2224	WH	HF	16:47	18:58	133  
D354 	WH	HF	17:06	18:53	133  
D2208	WH	HF	17:20	19:08	133  
D3004	WH	HF	17:25	19:15	133  
D3078	WH	HF	17:31	19:28	133  
G580 	WH	HF	17:44	19:36	133  
D2256	WH	HF	17:47	19:50	133  
D2264	WH	HF	18:00	19:57	133  
G2082	WH	JN	08:50	14:30	524  
G288 	WH	JN	09:43	15:35	524  
G1848	WH	JN	10:14	15:55	524  
G276 	WH	JN	11:10	16:48	524  
G2056	WH	JN	12:09	18:34	524  
G280 	WH	JN	12:30	18:13	524  
G316 	WH	JN	13:13	18:34	524  
G434 	WH	JN	15:05	20:43	524  
G286 	WH	JN	15:21	21:45	524  
D3084	WH	NJ	12:08	15:05	200  
G592 	WH	NJ	12:14	15:26	200  
D3058	WH	NJ	13:05	16:12	200  
D658 	WH	NJ	13:42	17:25	200  
D958 	WH	NJ	13:48	16:32	200  
D2214	WH	NJ	13:56	16:59	200  
G596 	WH	NJ	14:20	17:04	200  
